Name,Type,Category,Country,lat,lon,test
farmacia almirante,node,pharmacy,DO,18.5266912,-69.8141236,18.5266912 / -69.8141236
Farmacia Carol,node,pharmacy,DO,18.4692732,-69.9395159,18.4692732 / -69.9395159
Pharmacia,node,pharmacy,DO,18.9021882,-70.2672049,18.9021882 / -70.2672049
Telefarma,node,pharmacy,DO,18.4719918,-69.9218159,18.4719918 / -69.9218159
Farmacia Miguela,node,pharmacy,DO,18.4254056,-68.9643415,18.4254056 / -68.9643415
unknown name,node,pharmacy,DO,18.3680797,-68.8391907,18.3680797 / -68.8391907
Farma Xtra,node,pharmacy,DO,18.475015,-69.9426084,18.475015 / -69.9426084
Farmax,node,pharmacy,DO,18.4341726,-68.9937304,18.4341726 / -68.9937304
Silimed,node,pharmacy,DO,18.4717657,-69.9212012,18.4717657 / -69.9212012
Farmacia Puerto Rico 2,node,pharmacy,DO,18.4900397,-69.8535491,18.4900397 / -69.8535491
Vitasalud,node,pharmacy,DO,19.2764139,-70.2407112,19.2764139 / -70.2407112
Carxal,node,pharmacy,DO,19.4537313,-70.6858919,19.4537313 / -70.6858919
Farma Xtra,node,pharmacy,DO,18.4708037,-69.8916253,18.4708037 / -69.8916253
Wah Hing Trading Farmaceutica,node,pharmacy,DO,18.4787245,-69.8878172,18.4787245 / -69.8878172
Farmacia Eunice,node,pharmacy,DO,18.474119,-69.893648,18.474119 / -69.893648
Farmacia Thasulij,node,pharmacy,DO,18.4711528,-69.9181304,18.4711528 / -69.9181304
Farmacia Caribe,node,pharmacy,DO,18.4724274,-69.8914242,18.4724274 / -69.8914242
Farmacia Carol,node,pharmacy,DO,18.4770636,-69.8916656,18.4770636 / -69.8916656
Farmacia Sofia,node,pharmacy,DO,18.4762687,-69.8914236,18.4762687 / -69.8914236
unknown name,node,pharmacy,DO,18.4677353,-69.8942914,18.4677353 / -69.8942914
Farmacia Rachell,node,pharmacy,DO,18.4736393,-69.8559789,18.4736393 / -69.8559789
Farmacia Ligia,node,pharmacy,DO,18.4692458,-69.890978,18.4692458 / -69.890978
Farmacia Carol,node,pharmacy,DO,18.4733577,-69.8969841,18.4733577 / -69.8969841
Farmacia Aybar II D Cristian,node,pharmacy,DO,18.4812415,-69.8935932,18.4812415 / -69.8935932
Farmacia San Ramón,node,pharmacy,DO,18.4791168,-69.8955638,18.4791168 / -69.8955638
Farmacia Doña Chucha,node,pharmacy,DO,18.4979961,-69.8888326,18.4979961 / -69.8888326
Super Farmacia El Amor de Cristo,node,pharmacy,DO,18.4624531,-69.9046367,18.4624531 / -69.9046367
Farmacia Carmina,node,pharmacy,DO,18.4654584,-69.8981375,18.4654584 / -69.8981375
unknown name,node,pharmacy,DO,19.4102394,-70.6404953,19.4102394 / -70.6404953
Farmacia L&V,node,pharmacy,DO,18.4824282,-69.9022676,18.4824282 / -69.9022676
Farmacia Europa,node,pharmacy,DO,18.4653576,-69.8176022,18.4653576 / -69.8176022
Farmacia Rosa,node,pharmacy,DO,19.461321,-70.7036859,19.461321 / -70.7036859
Farmacia Grecia,node,pharmacy,DO,18.4983292,-69.8917845,18.4983292 / -69.8917845
Farmacia Miledy,node,pharmacy,DO,19.4348199,-70.6613832,19.4348199 / -70.6613832
Farmacia ADA,node,pharmacy,DO,18.5029388,-69.9013304,18.5029388 / -69.9013304
